InvoiceID,PO_ID,VendorID,Department_Invoice,InvoiceDate,PaymentDate,InvoiceAmount_INR,PaymentMethod,ApprovedBy,Status,Missing_Invoice_Amount_Flag,Negative_Invoice_Flag,Zero_Invoice_Flag,Missing_PO_Flag,Invalid_PO_Flag,Invalid_Vendor_Flag,Invalid_Approver_Flag,EmployeeID,EmployeeName,Department_Employee,Role,ApprovalLimit_INR,Invoice_Approval_Limit_Breach_Flag,Invoice_Limit_Utilization
INV000281,PO00246,V0097,Maintenance,2024-12-09,2025-01-18,48300.0,NEFT/RTGS,EMP0034,PAID,0,0,0,0,0,0,0,EMP0034,Ravi Reddy,HR,AVP,3000000,0,0.0161
INV000517,PO00453,V0076,Admin,2025-02-24,2025-04-03,82000.0,Bank Transfer,EMP0013,paid,0,0,0,0,0,0,0,EMP0013,Kavita Iyer,Quality,Senior Manager,1500000,0,0.05466666666666667
INV000584,PO00512,V0065,IT,2025-03-26,2025-04-26,15900.0,Bank Transfer,EMP0026,Paid,0,0,0,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.0106
INV000227,PO00198,V0031,Procurement,2024-08-11,2024-09-10,66900.0,Bank Transfer,EMP0055,Paid,0,0,0,0,0,0,0,EMP0055,Manoj Patel,Quality,Manager,500000,0,0.1338
INV000100,PO00084,V0056,Sales,2024-08-28,2024-11-04,36600.0,Bank Transfer,EMP0004,PAID,0,0,0,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.0732
INV000607,,V0087,Admin,2025-03-14,2025-04-08,19400.0,,EMP0031,Paid,0,0,0,1,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.0388
INV000011,PO00006,V0098,HR,2024-10-26,2024-11-14,21944.0,Bank Transfer,EMP0009,Paid,0,0,0,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.043888
INV000016,PO00010,V0007,HR,2024-05-14,2024-07-21,9324.0,Cheque,EMP0031,paid,0,0,0,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.018648
INV000130,PO00108,V0114,Logistics,2025-03-16,2025-04-22,34000.0,Bank Transfer,EMP0051,Paid,0,0,0,0,0,0,0,EMP0051,Vikram Patel,Sales,VP,10000000,0,0.0034
INV000087,PO00070,V0024,Sales,2024-11-05,2024-12-14,15863.0,Cheque,EMP0002,Paid,0,0,0,0,0,0,0,EMP0002,Varun Gupta,Production,AVP,3000000,0,0.005287666666666667
INV000617,,V0061,Procurement,2024-04-13,2024-04-23,28800.0,Bank Transfer,EMP0029,Paid,0,0,0,1,0,0,0,EMP0029,Deepak Chauhan,Admin,Manager,500000,0,0.0576
INV000349,PO00297,V0095,Admin,2024-10-21,2024-11-28,33012.0,Bank Transfer,EMP0004,paid,0,0,0,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.066024
INV000546,PO00479,V0012,Quality,2024-06-11,2024-07-29,400000.0,NEFT/RTGS,EMP0044,paid,0,0,0,0,0,0,0,EMP0044,Vivek Verma,Maintenance,AVP,3000000,0,0.13333333333333333
INV000313,PO00271,V0055,Production,2025-03-29,2025-04-19,73428.0,Bank Transfer,EMP0002,paid,0,0,0,0,0,0,0,EMP0002,Varun Gupta,Production,AVP,3000000,0,0.024476
INV000223,PO00194,V0103,Quality,2024-11-18,2024-12-19,14700.0,Bank Transfer,EMP0008,Paid,0,0,0,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.0098
INV000492,PO00432,V0102,Procurement,2024-08-21,2024-09-22,15700.0,Bank Transfer,EMP0009,PAID,0,0,0,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.0314
INV000173,PO00146,V0028,Admin,2024-09-30,2024-10-28,117400.0,Bank Transfer,EMP0035,PAID,0,0,0,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.01174
INV000500,PO00439,V0096,Logistics,2024-08-01,2024-09-03,128439.0,NEFT/RTGS,EMP0054,paid,0,0,0,0,0,0,0,EMP0054,Deepak Singh,Production,AVP,3000000,0,0.042813
INV000167,PO00141,V0096,Quality,2024-06-30,2024-07-30,24400.0,Cheque,EMP0054,Paid,0,0,0,0,0,0,0,EMP0054,Deepak Singh,Production,AVP,3000000,0,0.008133333333333333
INV000075,PO00061,V0042,Production,2025-01-20,2025-03-25,7350.0,NEFT/RTGS,EMP0036,Paid,0,0,0,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.0049
INV000106,PO00088,V0043,Admin,2024-11-07,2024-12-15,72200.0,Bank Transfer,EMP0021,Paid,0,0,0,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.1444
INV000189,PO00160,V0050,HR,2025-03-22,2025-04-03,17587.0,Bank Transfer,EMP0039,Paid,0,0,0,0,0,0,0,EMP0039,Rajesh Iyer,Quality,Manager,500000,0,0.035174
INV000049,PO00040,V0106,Sales,2025-03-28,2025-05-19,19600.0,Bank Transfer,EMP0049,paid,0,0,0,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.0392
INV000330,PO00281,V0122,Procurement,2025-01-17,2025-02-13,4800.0,Bank Transfer,EMP0018,paid,0,0,0,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.0096
INV000248,PO00214,V0028,Admin,2024-08-25,2024-09-22,95700.0,Bank Transfer,EMP0035,paid,0,0,0,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00957
INV000265,PO00232,V0077,Finance,2024-06-12,2024-08-13,43700.0,Bank Transfer,EMP0004,PAID,0,0,0,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.0874
INV000082,PO00066,V0119,Maintenance,2024-10-06,2024-11-28,37900.0,Bank Transfer,EMP0036,paid,0,0,0,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.025266666666666666
INV000023,PO00017,V0027,Quality,2024-10-17,2024-11-15,66300.0,Bank Transfer,EMP0003,Paid,0,0,0,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.1326
INV000383,PO00328,V0057,Quality,2024-12-28,2025-02-02,83700.0,Cheque,EMP0026,PAID,0,0,0,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.0558
INV000168,PO00142,V0103,IT,2024-08-08,2024-09-12,132804.0,Bank Transfer,EMP0008,Paid,0,0,0,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.088536
INV000521,PO00457,V0048,Sales,2024-10-16,2024-12-21,26800.0,NEFT/RTGS,EMP0063,PAID,0,0,0,0,0,0,0,EMP0063,Rajesh Chauhan,Maintenance,Senior Manager,1500000,0,0.017866666666666666
INV000487,PO00426,V0021,Sales,2024-10-22,2024-12-09,15264.0,NEFT/RTGS,EMP0052,paid,0,0,0,0,0,0,0,EMP0052,Suresh Kapoor,HR,Senior Manager,1500000,0,0.010176
INV000434,PO00378,V0044,Maintenance,2024-06-21,2024-08-09,16426.0,Cheque,EMP0049,paid,0,0,0,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.032852
INV000555,PO00486,V0031,Maintenance,2024-04-13,2024-05-12,9968.0,Bank Transfer,EMP0055,PAID,0,0,0,0,0,0,0,EMP0055,Manoj Patel,Quality,Manager,500000,0,0.019936
INV000588,PO00515,V0017,Quality,2025-02-07,2025-04-06,15980.0,Bank Transfer,EMP0021,Paid,0,0,0,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.03196
INV000065,PO00052,V0024,Quality,2024-11-12,2024-12-19,5460.0,Cheque,EMP0002,paid,0,0,0,0,0,0,0,EMP0002,Varun Gupta,Production,AVP,3000000,0,0.00182
INV000577,PO00506,V0128,Logistics,2024-10-16,2024-11-21,58100.0,Bank Transfer,EMP0010,paid,0,0,0,0,0,0,0,EMP0010,Suresh Singh,IT,Manager,500000,0,0.1162
INV000456,PO00399,V0029,IT,2025-01-22,2025-03-17,29800.0,,EMP0056,Paid,0,0,0,0,0,0,0,EMP0056,Pooja Iyer,IT,AVP,3000000,0,0.009933333333333334
INV000404,PO00350,V0118,Production,2024-05-11,2024-06-11,36400.0,NEFT/RTGS,EMP0026,PAID,0,0,0,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.024266666666666666
INV000135,PO00113,V0122,IT,2024-12-26,2025-02-01,29435.0,Cheque,EMP0018,PAID,0,0,0,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.05887
INV000246,PO00212,V0033,Production,2024-08-31,2024-10-18,39100.0,Bank Transfer,EMP0009,PAID,0,0,0,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.0782
INV000028,PO00021,V0085,Maintenance,2025-01-25,2025-03-19,54900.0,Bank Transfer,EMP0003,Paid,0,0,0,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.1098
INV000416,PO00360,V0081,IT,2024-09-25,2024-11-29,8190.0,Bank Transfer,EMP0036,paid,0,0,0,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.00546
INV000547,PO00480,V0037,Finance,2025-03-02,2025-03-25,129100.0,Cheque,EMP0004,Paid,0,0,0,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.2582
INV000589,PO00515,V0017,Quality,2025-02-02,2025-04-08,5100.0,Cheque,EMP0021,Paid,0,0,0,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.0102
INV000288,PO00250,V0078,Logistics,2024-12-26,2025-03-06,28400.0,Bank Transfer,EMP0044,Paid,0,0,0,0,0,0,0,EMP0044,Vivek Verma,Maintenance,AVP,3000000,0,0.009466666666666667
INV000472,PO00412,V0045,HR,2025-01-13,2025-01-28,23500.0,Bank Transfer,EMP0010,paid,0,0,0,0,0,0,0,EMP0010,Suresh Singh,IT,Manager,500000,0,0.047
INV000437,PO00379,V0013,HR,2024-10-04,2024-12-07,16300.0,Bank Transfer,EMP0018,Paid,0,0,0,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.0326
INV000575,PO00504,V0068,Logistics,2025-03-30,2025-05-06,85600.0,NEFT/RTGS,EMP0003,paid,0,0,0,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.1712
INV000430,PO00374,V0068,IT,2025-02-22,2025-03-22,4920.0,Bank Transfer,EMP0003,paid,0,0,0,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.00984
INV000210,PO00181,V0063,Production,2025-01-05,2025-02-04,36800.0,NEFT/RTGS,EMP0010,PAID,0,0,0,0,0,0,0,EMP0010,Suresh Singh,IT,Manager,500000,0,0.0736
INV000264,PO00231,V0100,HR,2024-10-22,2024-11-30,58638.0,Cheque,EMP0031,Paid,0,0,0,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.117276
INV000051,PO00043,V0102,Sales,2025-03-05,2025-04-10,16878.0,Bank Transfer,EMP0009,Paid,0,0,0,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.033756
INV000397,PO00340,V0013,HR,2025-01-22,2025-03-31,19100.0,NEFT/RTGS,EMP0018,Paid,0,0,0,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.0382
INV000038,PO00028,V0103,Procurement,2024-09-29,2024-11-06,44200.0,Bank Transfer,EMP0008,Paid,0,0,0,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.029466666666666665
INV000583,PO00511,V0103,Admin,2024-12-29,2025-02-05,14600.0,Cheque,EMP0008,paid,0,0,0,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.009733333333333333
INV000318,PO00274,V0103,Maintenance,2025-02-21,2025-03-28,3381.0,Bank Transfer,EMP0008,Paid,0,0,0,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.002254
INV000510,PO00448,V0121,Finance,2025-03-27,2025-04-14,55100.0,Bank Transfer,EMP0049,paid,0,0,0,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.1102
INV000399,PO00343,V0021,Production,2025-01-11,2025-03-01,37600.0,Bank Transfer,EMP0052,Paid,0,0,0,0,0,0,0,EMP0052,Suresh Kapoor,HR,Senior Manager,1500000,0,0.025066666666666668
INV000320,PO00274,V0103,Maintenance,2025-02-21,2025-03-22,4347.0,Bank Transfer,EMP0008,PAID,0,0,0,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.002898
INV000037,PO00027,V0126,HR,2024-06-27,2024-07-24,26788.0,NEFT/RTGS,EMP0009,paid,0,0,0,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.053576
INV000274,PO00239,V0049,Finance,2025-02-17,2025-04-22,22239.0,,EMP0053,Paid,0,0,0,0,0,0,0,EMP0053,Manoj Sharma,Admin,AVP,3000000,0,0.007413
INV000357,PO00303,V0059,Quality,2024-09-14,2024-09-27,11200.0,Bank Transfer,EMP0018,PAID,0,0,0,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.0224
INV000196,PO00167,V0084,IT,2024-10-24,2024-12-01,-44600.0,Bank Transfer,EMP0008,Paid,0,1,0,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,-0.029733333333333334
INV000031,PO00024,V0042,Maintenance,2024-05-13,2024-07-21,1976.0,Bank Transfer,EMP0036,Paid,0,0,0,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.0013173333333333333
INV000465,PO00405,V0017,Maintenance,2025-03-21,2025-05-28,114789.0,Cheque,EMP0021,Paid,0,0,0,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.229578
INV000119,PO00099,V0055,Admin,2024-10-26,2024-11-12,48048.0,NEFT/RTGS,EMP0002,Paid,0,0,0,0,0,0,0,EMP0002,Varun Gupta,Production,AVP,3000000,0,0.016016
INV000479,PO00420,V0052,HR,2024-10-07,2024-11-26,31700.0,Bank Transfer,EMP0055,PAID,0,0,0,0,0,0,0,EMP0055,Manoj Patel,Quality,Manager,500000,0,0.0634
INV000441,PO00385,V0049,Sales,2025-02-13,2025-04-19,34600.0,NEFT/RTGS,EMP0053,Paid,0,0,0,0,0,0,0,EMP0053,Manoj Sharma,Admin,AVP,3000000,0,0.011533333333333333
INV000178,PO00151,V0044,HR,2025-03-15,2025-04-27,79500.0,Bank Transfer,EMP0049,Paid,0,0,0,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.159
INV000050,PO00041,V0009,Procurement,2025-02-11,2025-03-22,69800.0,Bank Transfer,EMP0034,PAID,0,0,0,0,0,0,0,EMP0034,Ravi Reddy,HR,AVP,3000000,0,0.023266666666666668
INV000550,PO00483,V0121,Finance,2024-11-09,2024-11-28,53000.0,Bank Transfer,EMP0049,Paid,0,0,0,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.106
INV000008,PO00004,V0028,Admin,2024-08-07,2024-09-07,60032.0,Bank Transfer,EMP0035,Paid,0,0,0,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.0060032
INV000310,PO00268,V0110,Production,2024-06-27,2024-08-26,30744.0,Bank Transfer,EMP0044,Paid,0,0,0,0,0,0,0,EMP0044,Vivek Verma,Maintenance,AVP,3000000,0,0.010248
INV000369,PO00315,V0050,IT,2024-08-06,2024-08-20,126300.0,Bank Transfer,EMP0039,Paid,0,0,0,0,0,0,0,EMP0039,Rajesh Iyer,Quality,Manager,500000,0,0.2526
INV000551,PO00484,V0055,Sales,2025-03-26,2025-04-13,166900.0,NEFT/RTGS,EMP0002,Paid,0,0,0,0,0,0,0,EMP0002,Varun Gupta,Production,AVP,3000000,0,0.05563333333333333
INV000387,PO00332,V0002,IT,2024-10-20,2024-12-20,123300.0,Bank Transfer,EMP0026,Paid,0,0,0,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.0822
INV000436,PO00378,V0044,Maintenance,2024-06-16,2024-08-04,21392.0,Cheque,EMP0049,PAID,0,0,0,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.042784
INV000175,PO00148,V0121,HR,2024-12-23,2025-01-17,19000.0,Bank Transfer,EMP0049,paid,0,0,0,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.038
INV000108,PO00090,V0039,IT,2024-12-10,2024-12-24,30900.0,NEFT/RTGS,EMP0044,paid,0,0,0,0,0,0,0,EMP0044,Vivek Verma,Maintenance,AVP,3000000,0,0.0103
INV000041,PO00032,V0085,Production,2025-02-19,2025-04-09,20000.0,Cheque,EMP0003,PAID,0,0,0,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.04
INV000486,PO00426,V0021,Sales,2024-10-31,2024-12-12,636.0,NEFT/RTGS,EMP0052,Paid,0,0,0,0,0,0,0,EMP0052,Suresh Kapoor,HR,Senior Manager,1500000,0,0.000424
INV000114,PO00096,V0042,Finance,2024-05-31,2024-07-29,3276.0,Bank Transfer,EMP0036,Paid,0,0,0,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.002184
INV000368,PO00314,V0025,HR,2024-08-25,2024-10-17,27500.0,NEFT/RTGS,EMP0036,Paid,0,0,0,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.018333333333333333
INV000482,PO00423,V0039,Maintenance,2024-07-15,2024-07-30,32300.0,Cheque,EMP0044,PAID,0,0,0,0,0,0,0,EMP0044,Vivek Verma,Maintenance,AVP,3000000,0,0.010766666666666667
INV000079,PO00063,V0073,Procurement,2025-03-28,2025-05-07,5070.0,Bank Transfer,EMP0034,PAID,0,0,0,0,0,0,0,EMP0034,Ravi Reddy,HR,AVP,3000000,0,0.00169
INV000144,PO00123,V0122,IT,2024-05-19,2024-06-18,9580.0,Cheque,EMP0018,Paid,0,0,0,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.01916
INV000156,PO00130,V0110,Production,2024-11-15,2025-01-19,2885800.0,,EMP0044,paid,0,0,0,0,0,0,0,EMP0044,Vivek Verma,Maintenance,AVP,3000000,0,0.9619333333333333
INV000580,PO00508,V0060,IT,2024-06-24,2024-07-13,72400.0,Cheque,EMP0018,paid,0,0,0,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.1448
INV000101,PO00085,V0084,Production,2024-07-08,2024-08-07,42413.0,NEFT/RTGS,EMP0008,Paid,0,0,0,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.028275333333333333
INV000295,PO00257,V0063,Logistics,2024-06-10,2024-07-18,45600.0,Bank Transfer,EMP0010,Paid,0,0,0,0,0,0,0,EMP0010,Suresh Singh,IT,Manager,500000,0,0.0912
INV000338,PO00288,V0105,HR,2024-10-28,2024-11-30,29700.0,Bank Transfer,EMP0035,Paid,0,0,0,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00297
INV000344,PO00294,V0082,HR,2025-03-27,2025-06-01,60400.0,NEFT/RTGS,EMP0012,PAID,0,0,0,0,0,0,0,EMP0012,Arjun Mehta,Production,VP,10000000,0,0.00604
INV000132,PO00111,V0103,Finance,2024-05-18,2024-06-19,28000.0,NEFT/RTGS,EMP0008,PAID,0,0,0,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.018666666666666668
INV000211,PO00182,V0019,Finance,2025-03-04,2025-05-11,45700.0,Bank Transfer,EMP0021,PAID,0,0,0,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.0914
INV000370,PO00316,V0085,Production,2024-07-23,2024-09-09,164100.0,Cheque,EMP0003,paid,0,0,0,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.3282
INV000411,PO00357,V0095,Sales,2025-03-29,2025-05-07,82400.0,Cheque,EMP0004,Paid,0,0,0,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.1648
INV000468,PO00408,V0125,HR,2024-12-27,2025-01-28,10600.0,Bank Transfer,EMP0035,Paid,0,0,0,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00106
INV000270,PO00237,V0091,Finance,2024-05-30,2024-07-07,12000.0,Bank Transfer,EMP0026,Paid,0,0,0,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.008
INV000401,PO00345,V0076,Production,2025-02-24,2025-03-28,77000.0,Bank Transfer,EMP0013,Paid,0,0,0,0,0,0,0,EMP0013,Kavita Iyer,Quality,Senior Manager,1500000,0,0.051333333333333335
INV000352,PO00300,V0102,Procurement,2024-11-22,2024-12-25,207800.0,Bank Transfer,EMP0009,Paid,0,0,0,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.4156
INV000582,PO00510,V0029,Finance,2024-09-27,2024-11-12,129800.0,Cheque,EMP0056,PAID,0,0,0,0,0,0,0,EMP0056,Pooja Iyer,IT,AVP,3000000,0,0.04326666666666667
INV000112,PO00094,V0098,Maintenance,2024-07-24,2024-08-08,52200.0,Bank Transfer,EMP0009,PAID,0,0,0,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.1044
INV000379,PO00324,V0022,Sales,2025-03-13,2025-04-09,59900.0,Bank Transfer,EMP0003,PAID,0,0,0,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.1198
INV000176,PO00149,V0081,Production,2024-09-09,2024-11-18,103500.0,NEFT/RTGS,EMP0036,paid,0,0,0,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.069
