PO_ID,VendorID,PO_Date,Department_PO,PO_Amount_INR,RaisedBy,ApprovedBy,Missing_Vendor_Flag,Missing_Approver_Flag,Invalid_PO_Amount_Flag,Invalid_Vendor_Flag,EmployeeID,EmployeeName,Department_Employee,Role,ApprovalLimit_INR,PO_Approval_Limit_Breach_Flag,PO_Limit_Utilization
PO00022,V0037,2025-01-03,IT,11600,EMP0023,EMP0004,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.0232
PO00023,V0027,2024-12-08,Procurement,26300,EMP0012,EMP0003,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.0526
PO00024,V0042,2024-04-29,Maintenance,10400,EMP0029,EMP0036,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.006933333333333333
PO00025,V0114,2024-04-11,Admin,374500,EMP0062,EMP0051,0,0,0,0,EMP0051,Vikram Patel,Sales,VP,10000000,0,0.03745
PO00026,V0030,2024-04-01,HR,53400,EMP0026,EMP0009,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.1068
PO00027,V0126,2024-06-06,HR,72400,EMP0023,EMP0009,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.1448
PO00028,V0103,2024-09-13,Procurement,44200,EMP0003,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.029466666666666665
PO00029,V0042,2024-06-15,Sales,59300,EMP0019,EMP0036,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.03953333333333333
PO00030,V0002,2024-05-27,Admin,25300,EMP0047,EMP0026,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.016866666666666665
PO00031,V0008,2024-05-08,HR,55900,EMP0051,EMP0031,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.1118
PO00032,V0085,2025-01-26,Production,20000,EMP0044,EMP0003,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.04
PO00033,V0101,2024-09-02,HR,49200,EMP0018,EMP0013,0,0,0,0,EMP0013,Kavita Iyer,Quality,Senior Manager,1500000,0,0.0328
PO00034,V0020,2024-06-20,Finance,3300,EMP0063,EMP0046,0,0,0,0,EMP0046,Nikhil Gupta,Quality,Manager,500000,0,0.0066
PO00035,V0099,2025-02-27,HR,56200,EMP0023,EMP0046,0,0,0,0,EMP0046,Nikhil Gupta,Quality,Manager,500000,0,0.1124
PO00036,V0024,2025-03-29,Admin,156700,EMP0046,EMP0002,0,0,0,0,EMP0002,Varun Gupta,Production,AVP,3000000,0,0.05223333333333333
PO00037,V0006,2024-07-24,Sales,80300,EMP0023,EMP0054,0,0,0,0,EMP0054,Deepak Singh,Production,AVP,3000000,0,0.026766666666666668
PO00038,V0115,2024-10-11,IT,7700,EMP0038,EMP0035,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00077
PO00039,V0068,2024-06-05,Quality,26700,EMP0001,EMP0003,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.0534
PO00040,V0106,2025-03-26,Sales,19600,EMP0051,EMP0049,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.0392
PO00041,V0009,2025-01-16,Procurement,69800,EMP0024,EMP0034,0,0,0,0,EMP0034,Ravi Reddy,HR,AVP,3000000,0,0.023266666666666668
PO00042,V0029,2025-02-03,HR,38000,EMP0029,EMP0056,0,0,0,0,EMP0056,Pooja Iyer,IT,AVP,3000000,0,0.012666666666666666
PO00043,V0102,2025-02-22,Sales,29100,EMP0014,EMP0009,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.0582
PO00044,V0122,2024-12-11,Quality,37400,EMP0043,EMP0018,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.0748
PO00045,V0102,2024-05-10,Maintenance,275800,EMP0045,EMP0009,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.5516
PO00046,V0111,2024-09-11,Quality,61100,EMP0012,EMP0029,0,0,0,0,EMP0029,Deepak Chauhan,Admin,Manager,500000,0,0.1222
PO00047,V0112,2025-03-29,HR,154400,EMP0058,EMP0021,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.3088
PO00048,V0087,2024-04-06,IT,23700,EMP0027,EMP0031,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.0474
PO00049,V0094,2024-08-06,Production,138000,EMP0045,EMP0049,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.276
PO00050,V0113,2024-08-10,Production,11800,EMP0001,EMP0046,0,0,0,0,EMP0046,Nikhil Gupta,Quality,Manager,500000,0,0.0236
PO00051,V0075,2024-04-25,Finance,62000,EMP0057,EMP0031,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.124
PO00052,V0024,2024-11-01,Quality,13000,EMP0053,EMP0002,0,0,0,0,EMP0002,Varun Gupta,Production,AVP,3000000,0,0.004333333333333333
PO00053,V0023,2024-12-09,Finance,28100,EMP0045,EMP0056,0,0,0,0,EMP0056,Pooja Iyer,IT,AVP,3000000,0,0.009366666666666667
PO00054,V0004,2025-01-05,Finance,43000,EMP0013,EMP0048,0,0,0,0,EMP0048,Ravi Joshi,Sales,Manager,500000,0,0.086
PO00055,V0015,2024-12-02,Sales,18700,EMP0029,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.012466666666666666
PO00056,V0124,2024-06-23,Logistics,15400,EMP0010,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.010266666666666667
PO00057,V0003,2024-04-18,IT,41800,EMP0003,EMP0048,0,0,0,0,EMP0048,Ravi Joshi,Sales,Manager,500000,0,0.0836
PO00058,V0114,2024-09-11,IT,125100,EMP0014,EMP0051,0,0,0,0,EMP0051,Vikram Patel,Sales,VP,10000000,0,0.01251
PO00059,V0080,2024-05-08,HR,24400,EMP0022,EMP0051,0,0,0,0,EMP0051,Vikram Patel,Sales,VP,10000000,0,0.00244
PO00060,V0046,2024-10-10,Quality,99600,EMP0010,EMP0035,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00996
PO00061,V0042,2025-01-06,Production,24500,EMP0044,EMP0036,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.01633333333333333
PO00062,V0038,2025-01-30,Sales,59700,EMP0062,EMP0063,0,0,0,0,EMP0063,Rajesh Chauhan,Maintenance,Senior Manager,1500000,0,0.0398
PO00063,V0073,2025-03-27,Procurement,6500,EMP0056,EMP0034,0,0,0,0,EMP0034,Ravi Reddy,HR,AVP,3000000,0,0.0021666666666666666
PO00064,V0058,2025-03-01,Quality,25500,EMP0056,EMP0031,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.051
PO00065,V0121,2024-06-20,Procurement,147800,EMP0013,EMP0049,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.2956
PO00066,V0119,2024-09-17,Maintenance,37900,EMP0025,EMP0036,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.025266666666666666
PO00067,V0119,2024-10-27,Admin,20900,EMP0034,EMP0036,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.013933333333333334
PO00068,V0095,2025-03-05,IT,78900,EMP0039,EMP0004,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.1578
PO00069,V0085,2024-07-31,Production,89600,EMP0007,EMP0003,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.1792
PO00070,V0024,2024-10-19,Sales,54700,EMP0063,EMP0002,0,0,0,0,EMP0002,Varun Gupta,Production,AVP,3000000,0,0.018233333333333334
PO00071,V0086,2024-06-18,Procurement,32400,EMP0047,EMP0056,0,0,0,0,EMP0056,Pooja Iyer,IT,AVP,3000000,0,0.0108
PO00072,V0095,2024-04-02,Finance,18100,EMP0012,EMP0004,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.0362
PO00073,V0122,2024-08-29,Sales,58400,EMP0062,EMP0018,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.1168
PO00074,V0101,2024-07-12,Production,18700,EMP0004,EMP0013,0,0,0,0,EMP0013,Kavita Iyer,Quality,Senior Manager,1500000,0,0.012466666666666666
PO00075,V0086,2024-07-15,Quality,46300,EMP0038,EMP0056,0,0,0,0,EMP0056,Pooja Iyer,IT,AVP,3000000,0,0.015433333333333334
PO00076,V0096,2024-05-12,Logistics,160200,EMP0015,EMP0054,0,0,0,0,EMP0054,Deepak Singh,Production,AVP,3000000,0,0.0534
PO00077,V0022,2024-09-05,Finance,61400,EMP0061,EMP0003,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.1228
PO00078,V0005,2024-12-07,IT,81000,EMP0012,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.054
PO00079,V0063,2025-02-23,Admin,221700,EMP0050,EMP0010,0,0,0,0,EMP0010,Suresh Singh,IT,Manager,500000,0,0.4434
PO00080,V0109,2024-07-04,HR,33100,EMP0049,EMP0012,0,0,0,0,EMP0012,Arjun Mehta,Production,VP,10000000,0,0.00331
PO00081,V0118,2024-10-07,Quality,69300,EMP0058,EMP0026,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.0462
PO00082,V0035,2024-04-23,IT,144000,EMP0057,EMP0056,0,0,0,0,EMP0056,Pooja Iyer,IT,AVP,3000000,0,0.048
PO00083,V0023,2024-11-25,IT,43900,EMP0029,EMP0056,0,0,0,0,EMP0056,Pooja Iyer,IT,AVP,3000000,0,0.014633333333333333
PO00084,V0056,2024-08-16,Sales,36600,EMP0008,EMP0004,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.0732
PO00085,V0084,2024-06-17,Production,51100,EMP0011,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.03406666666666667
PO00086,V0030,2025-03-09,HR,9400,EMP0053,EMP0009,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.0188
PO00087,V0034,2025-01-27,Maintenance,20300,EMP0008,EMP0044,0,0,0,0,EMP0044,Vivek Verma,Maintenance,AVP,3000000,0,0.0067666666666666665
PO00088,V0043,2024-10-16,Admin,72200,EMP0054,EMP0021,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.1444
PO00089,V0012,2024-12-31,Logistics,22800,EMP0031,EMP0044,0,0,0,0,EMP0044,Vivek Verma,Maintenance,AVP,3000000,0,0.0076
PO00090,V0039,2024-11-30,IT,30900,EMP0011,EMP0044,0,0,0,0,EMP0044,Vivek Verma,Maintenance,AVP,3000000,0,0.0103
PO00091,V0072,2024-10-20,Procurement,42000,EMP0065,EMP0030,0,0,0,0,EMP0030,Manoj Malhotra,Maintenance,Junior Officer,100000,0,0.42
PO00092,V0050,2025-01-18,Admin,147800,EMP0019,EMP0039,0,0,0,0,EMP0039,Rajesh Iyer,Quality,Manager,500000,0,0.2956
PO00093,V0112,2024-06-01,Logistics,201300,EMP0023,EMP0021,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.4026
PO00094,V0098,2024-06-25,Maintenance,52200,EMP0025,EMP0009,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.1044
PO00095,V0097,2024-06-04,Procurement,6700,EMP0055,EMP0034,0,0,0,0,EMP0034,Ravi Reddy,HR,AVP,3000000,0,0.0022333333333333333
PO00096,V0042,2024-05-11,Finance,46800,EMP0026,EMP0036,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.0312
PO00097,V0091,2025-02-16,Quality,37100,EMP0034,EMP0026,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.024733333333333333
PO00098,V0053,2024-09-11,Production,48800,EMP0012,EMP0063,0,0,0,0,EMP0063,Rajesh Chauhan,Maintenance,Senior Manager,1500000,0,0.03253333333333333
PO00099,V0055,2024-10-16,Admin,54600,EMP0051,EMP0002,0,0,0,0,EMP0002,Varun Gupta,Production,AVP,3000000,0,0.0182
PO00100,V0053,2025-01-08,HR,8600,EMP0036,EMP0063,0,0,0,0,EMP0063,Rajesh Chauhan,Maintenance,Senior Manager,1500000,0,0.005733333333333333
PO00101,V0029,2024-12-23,Logistics,2600,EMP0002,EMP0056,0,0,0,0,EMP0056,Pooja Iyer,IT,AVP,3000000,0,0.0008666666666666666
PO00102,V0045,2025-03-25,Sales,25800,EMP0054,EMP0010,0,0,0,0,EMP0010,Suresh Singh,IT,Manager,500000,0,0.0516
PO00103,V0064,2024-05-28,Finance,106500,EMP0020,EMP0046,0,0,0,0,EMP0046,Nikhil Gupta,Quality,Manager,500000,0,0.213
PO00104,V0050,2024-06-15,Sales,30200,EMP0013,EMP0039,0,0,0,0,EMP0039,Rajesh Iyer,Quality,Manager,500000,0,0.0604
PO00105,V0025,2024-05-25,Sales,5700,EMP0013,EMP0036,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.0038
PO00106,V0025,2024-08-25,Admin,47500,EMP0045,EMP0036,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.03166666666666667
PO00107,V0109,2024-10-28,IT,191400,EMP0050,EMP0012,0,0,0,0,EMP0012,Arjun Mehta,Production,VP,10000000,0,0.01914
PO00108,V0114,2025-03-02,Logistics,34000,EMP0061,EMP0051,0,0,0,0,EMP0051,Vikram Patel,Sales,VP,10000000,0,0.0034
PO00109,V0037,2024-04-20,Quality,37500,EMP0036,EMP0004,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.075
PO00110,V0099,2024-10-24,Quality,197200,EMP0052,EMP0046,0,0,0,0,EMP0046,Nikhil Gupta,Quality,Manager,500000,0,0.3944
PO00111,V0103,2024-04-20,Finance,28000,EMP0043,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.018666666666666668
PO00112,V0057,2025-03-20,Maintenance,46700,EMP0007,EMP0026,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.031133333333333332
PO00113,V0122,2024-11-30,IT,101500,EMP0048,EMP0018,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.203
PO00114,V0117,2024-04-11,HR,18400,EMP0039,EMP0009,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.0368
PO00115,V0063,2024-09-07,IT,237200,EMP0063,EMP0010,0,0,0,0,EMP0010,Suresh Singh,IT,Manager,500000,0,0.4744
PO00116,V0050,2025-03-23,Production,103600,EMP0030,EMP0039,0,0,0,0,EMP0039,Rajesh Iyer,Quality,Manager,500000,0,0.2072
PO00117,V0004,2024-06-08,IT,45900,EMP0057,EMP0048,0,0,0,0,EMP0048,Ravi Joshi,Sales,Manager,500000,0,0.0918
PO00118,V0097,2024-09-12,IT,53800,EMP0054,EMP0034,0,0,0,0,EMP0034,Ravi Reddy,HR,AVP,3000000,0,0.017933333333333332
PO00119,V0079,2025-02-04,Production,124000,EMP0025,EMP0034,0,0,0,0,EMP0034,Ravi Reddy,HR,AVP,3000000,0,0.04133333333333333
PO00120,V0101,2024-11-13,Maintenance,60400,EMP0053,EMP0013,0,0,0,0,EMP0013,Kavita Iyer,Quality,Senior Manager,1500000,0,0.040266666666666666
PO00121,V0057,2024-12-05,Admin,20000,EMP0048,EMP0026,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.013333333333333334
PO00122,V0055,2024-04-29,Admin,45500,EMP0021,EMP0002,0,0,0,0,EMP0002,Varun Gupta,Production,AVP,3000000,0,0.015166666666666667
PO00123,V0122,2024-05-04,IT,47900,EMP0065,EMP0018,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.0958
PO00124,V0103,2024-10-24,Quality,40900,EMP0004,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.027266666666666668
PO00125,V0100,2024-06-28,Maintenance,69200,EMP0026,EMP0031,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.1384
PO00126,V0056,2024-04-30,Maintenance,46800,EMP0005,EMP0004,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.0936
PO00127,V0011,2024-11-20,Procurement,26600,EMP0047,EMP0048,0,0,0,0,EMP0048,Ravi Joshi,Sales,Manager,500000,0,0.0532
PO00128,V0005,2025-03-27,Maintenance,108700,EMP0036,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.07246666666666667
PO00129,V0008,2024-10-06,Logistics,3400,EMP0065,EMP0031,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.0068
PO00130,V0110,2024-10-21,Production,13400,EMP0004,EMP0044,0,0,0,0,EMP0044,Vivek Verma,Maintenance,AVP,3000000,0,0.0044666666666666665
PO00131,V0019,2024-08-02,HR,35900,EMP0063,EMP0021,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.0718
PO00132,V0015,2025-01-30,Logistics,39600,EMP0023,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.0264
PO00133,V0049,2024-11-29,Sales,9900,EMP0045,EMP0053,0,0,0,0,EMP0053,Manoj Sharma,Admin,AVP,3000000,0,0.0033
PO00134,V0065,2024-09-24,Quality,33400,EMP0034,EMP0026,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.022266666666666667
PO00135,V0043,2025-03-19,Production,33600,EMP0037,EMP0021,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.0672
PO00136,V0130,2024-04-15,Finance,10500,EMP0007,EMP0026,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.007
PO00137,V0046,2024-06-23,Sales,16800,EMP0028,EMP0035,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00168
PO00138,V0017,2024-07-23,Maintenance,70300,EMP0027,EMP0021,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.1406
PO00139,V0044,2024-08-16,Finance,263300,EMP0003,EMP0049,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.5266
PO00140,V0030,2025-03-16,Procurement,80100,EMP0061,EMP0009,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.1602
PO00141,V0096,2024-06-07,Quality,24400,EMP0002,EMP0054,0,0,0,0,EMP0054,Deepak Singh,Production,AVP,3000000,0,0.008133333333333333
PO00142,V0103,2024-07-24,IT,316200,EMP0040,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.2108
PO00143,V0105,2025-03-31,IT,35700,EMP0055,EMP0035,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00357
PO00144,V0070,2024-10-10,HR,57000,EMP0059,EMP0039,0,0,0,0,EMP0039,Rajesh Iyer,Quality,Manager,500000,0,0.114
PO00145,V0022,2024-08-08,Maintenance,22200,EMP0060,EMP0003,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.0444
PO00146,V0028,2024-09-02,Admin,117400,EMP0051,EMP0035,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.01174
PO00147,V0067,2025-01-25,Production,27900,EMP0001,EMP0035,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00279
PO00148,V0121,2024-12-18,HR,19000,EMP0037,EMP0049,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.038
PO00149,V0081,2024-08-31,Production,103500,EMP0062,EMP0036,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.069
PO00150,V0054,2024-05-03,HR,369900,EMP0036,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.2466
PO00151,V0044,2025-02-22,HR,79500,EMP0036,EMP0049,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.159
PO00152,V0128,2024-08-12,IT,170600,EMP0025,EMP0010,0,0,0,0,EMP0010,Suresh Singh,IT,Manager,500000,0,0.3412
PO00153,V0079,2024-06-16,Admin,97400,EMP0031,EMP0034,0,0,0,0,EMP0034,Ravi Reddy,HR,AVP,3000000,0,0.032466666666666665
PO00154,V0046,2024-04-30,Sales,32900,EMP0052,EMP0035,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00329
PO00155,V0065,2025-03-05,HR,71500,EMP0018,EMP0026,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.04766666666666667
PO00156,V0035,2024-04-14,Logistics,17500,EMP0038,EMP0056,0,0,0,0,EMP0056,Pooja Iyer,IT,AVP,3000000,0,0.005833333333333334
PO00157,V0005,2024-08-11,Finance,30500,EMP0052,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.02033333333333333
PO00158,V0075,2024-10-16,Procurement,25500,EMP0025,EMP0031,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.051
PO00159,V0066,2024-09-23,Maintenance,17800,EMP0061,EMP0003,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.0356
PO00160,V0050,2025-03-10,HR,40900,EMP0065,EMP0039,0,0,0,0,EMP0039,Rajesh Iyer,Quality,Manager,500000,0,0.0818
PO00161,V0111,2024-09-01,Quality,65900,EMP0024,EMP0029,0,0,0,0,EMP0029,Deepak Chauhan,Admin,Manager,500000,0,0.1318
PO00162,V0082,2024-08-29,Production,148500,EMP0061,EMP0012,0,0,0,0,EMP0012,Arjun Mehta,Production,VP,10000000,0,0.01485
PO00163,V0086,2024-06-05,IT,170300,EMP0024,EMP0056,0,0,0,0,EMP0056,Pooja Iyer,IT,AVP,3000000,0,0.05676666666666667
PO00164,V0119,2025-03-15,HR,113400,EMP0012,EMP0036,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.0756
PO00165,V0123,2024-07-23,HR,125400,EMP0029,EMP0046,0,0,0,0,EMP0046,Nikhil Gupta,Quality,Manager,500000,0,0.2508
PO00166,V0125,2024-09-05,Finance,8700,EMP0043,EMP0035,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00087
PO00167,V0084,2024-10-08,IT,44600,EMP0038,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.029733333333333334
PO00168,V0049,2024-11-24,Production,67500,EMP0061,EMP0053,0,0,0,0,EMP0053,Manoj Sharma,Admin,AVP,3000000,0,0.0225
PO00169,V0013,2024-04-28,Sales,82600,EMP0010,EMP0018,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.1652
PO00170,V0061,2024-11-28,Maintenance,6500,EMP0065,EMP0029,0,0,0,0,EMP0029,Deepak Chauhan,Admin,Manager,500000,0,0.013
PO00171,V0024,2024-06-01,Finance,20200,EMP0039,EMP0002,0,0,0,0,EMP0002,Varun Gupta,Production,AVP,3000000,0,0.006733333333333333
PO00172,V0090,2024-10-29,Procurement,47900,EMP0020,EMP0054,0,0,0,0,EMP0054,Deepak Singh,Production,AVP,3000000,0,0.015966666666666667
PO00173,V0058,2024-06-10,Maintenance,11200,EMP0044,EMP0031,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.0224
PO00174,V0060,2024-10-27,Sales,19500,EMP0059,EMP0018,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.039
PO00175,V0109,2024-06-13,HR,21900,EMP0024,EMP0012,0,0,0,0,EMP0012,Arjun Mehta,Production,VP,10000000,0,0.00219
